Family_ID	Gene_Count	Core_Status	Protein_Anchor_Orthogroups
fam179	2	PARTIAL	myID5115,myID5117,myID5118,myID5119,myID5120
fam180	6	PARTIAL	myID3724,myID3725,myID3726,myID3727,myID3728
fam181	3	PARTIAL	myID1908,myID1909,myID1910,myID1911,myID1912
fam182	4	PARTIAL	myID4732,myID4733,myID4734
fam183	3	PARTIAL	myID1037
fam184	3	PARTIAL	myID2308,myID2309,myID2310,myID2311,myID2312,myID2313,myID2314
fam185	3	PARTIAL	myID971,myID972,myID973,myID974,myID975,myID976,myID977,myID978
fam186	2	PARTIAL	myID460,myID461,myID462,myID463,myID464,myID465,myID481
fam187	4	PARTIAL	myID47,myID48,myID49,myID50,myID52,myID53,myID54,myID55
fam188	2	PARTIAL	myID2957,myID2961,myID2962,myID2963,myID2964,myID2965,myID2966,myID2987
fam189	2	PARTIAL	myID4592,myID4593,myID4594,myID4595,myID4597
fam190	3	PARTIAL	myID4705,myID4706,myID4707,myID4708,myID4709,myID4710
fam191	2	PARTIAL	myID1416,myID1417,myID1418,myID1419,myID1420,myID1421,myID1424
fam192	10	CORE	myID2637,myID2638,myID2639,myID2640,myID2641,myID2642
fam193	2	PARTIAL	myID2426,myID2427,myID2428,myID887
fam194	2	PARTIAL	myID519,myID520,myID521,myID522
fam195	5	PARTIAL	myID1431,myID1432,myID1433,myID1434,myID1435
fam196	4	PARTIAL	myID1105,myID1106,myID1107,myID1108,myID1109
fam197	5	PARTIAL	myID964,myID965,myID966,myID967,myID968,myID969,myID970,myID971
fam198	4	PARTIAL	myID2580,myID2582,myID2583,myID2584,myID2585,myID2586,myID2587
fam199	2	PARTIAL	myID3819,myID3820,myID3821,myID3822,myID3823
fam200	3	PARTIAL	myID3550,myID3551,myID3552,myID3553
fam201	2	PARTIAL	myID3647,myID3648,myID3649,myID3650,myID3651,myID3652
fam202	5	PARTIAL	myID3395,myID3396,myID3397,myID3398,myID3399,myID3400
fam203	14	CORE	myID1003,myID1004,myID1008,myID1009,myID1010,myID1011,myID1013,myID1014
fam204	9	CORE	myID1840,myID1841,myID1842,myID1843,myID1844
fam205	2	PARTIAL	myID505,myID506,myID507,myID508,myID509,myID510,myID511
fam206	3	PARTIAL	myID2618,myID2619,myID2620,myID2621,myID2622,myID2623
fam207	2	PARTIAL	myID2066,myID2067,myID2068
fam208	2	PARTIAL	myID2226,myID2227,myID2228,myID2229,myID2230
fam209	4	PARTIAL	myID1002,myID1003,myID1004,myID1005,myID1006,myID1007
fam210	2	PARTIAL	myID5016,myID5017,myID5018,myID5019
fam211	5	PARTIAL	myID2630,myID2631,myID2632,myID2633,myID2634,myID2635
